repo,file,method,line,kind,token,context
macrozheng/mall,,,,OK,NONE,No forbidden constructs detected
lenve/vhr,,,,OK,NONE,No forbidden constructs detected
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,,,,OK,NONE,No forbidden constructs detected
Baseflow/PhotoView,,,,OK,NONE,No forbidden constructs detected
JeffLi1993/springboot-learning-example,,,,OK,NONE,No forbidden constructs detected
hdodenhof/CircleImageView,,,,OK,NONE,No forbidden constructs detected
youth5201314/banner,,,,OK,NONE,No forbidden constructs detected
macrozheng/mall-swarm,,,,OK,NONE,No forbidden constructs detected
liaohuqiu/android-Ultra-Pull-To-Refresh,,,,OK,NONE,No forbidden constructs detected
jeecgboot/jimureport,,,,OK,NONE,No forbidden constructs detected
